Pokemon: bulbasaur, Type: unknown
Pokemon: ivysaur, Type: unknown
Pokemon: venusaur, Type: unknown
Pokemon: charmander, Type: unknown
Pokemon: charmeleon, Type: unknown
Pokemon: charizard, Type: unknown
Pokemon: squirtle, Type: unknown
Pokemon: wartortle, Type: unknown
Pokemon: blastoise, Type: unknown
Pokemon: caterpie, Type: unknown
Pokemon: metapod, Type: unknown
Pokemon: butterfree, Type: unknown
Pokemon: weedle, Type: unknown
Pokemon: kakuna, Type: unknown
Pokemon: beedrill, Type: unknown
Pokemon: pidgey, Type: unknown
Pokemon: pidgeotto, Type: unknown
Pokemon: pidgeot, Type: unknown
Pokemon: rattata, Type: unknown
Pokemon: raticate, Type: unknown
Pokemon: spearow, Type: unknown
Pokemon: fearow, Type: unknown
Pokemon: ekans, Type: unknown
Pokemon: arbok, Type: unknown
Pokemon: pikachu, Type: unknown
Pokemon: raichu, Type: unknown
Pokemon: sandshrew, Type: unknown
Pokemon: sandslash, Type: unknown
Pokemon: nidoran-f, Type: unknown
Pokemon: nidorina, Type: unknown
Pokemon: nidoqueen, Type: unknown
Pokemon: nidoran-m, Type: unknown
Pokemon: nidorino, Type: unknown
Pokemon: nidoking, Type: unknown
Pokemon: clefairy, Type: unknown
Pokemon: clefable, Type: unknown
Pokemon: vulpix, Type: unknown
Pokemon: ninetales, Type: unknown
Pokemon: jigglypuff, Type: unknown
Pokemon: wigglytuff, Type: unknown
Pokemon: zubat, Type: unknown
Pokemon: golbat, Type: unknown
Pokemon: oddish, Type: unknown
Pokemon: gloom, Type: unknown
Pokemon: vileplume, Type: unknown
Pokemon: paras, Type: unknown
Pokemon: parasect, Type: unknown
Pokemon: venonat, Type: unknown
Pokemon: venomoth, Type: unknown
Pokemon: diglett, Type: unknown
Pokemon: dugtrio, Type: unknown
Pokemon: meowth, Type: unknown
Pokemon: persian, Type: unknown
Pokemon: psyduck, Type: unknown
Pokemon: golduck, Type: unknown
Pokemon: mankey, Type: unknown
Pokemon: primeape, Type: unknown
Pokemon: growlithe, Type: unknown
Pokemon: arcanine, Type: unknown
Pokemon: poliwag, Type: unknown
Pokemon: poliwhirl, Type: unknown
Pokemon: poliwrath, Type: unknown
Pokemon: abra, Type: unknown
Pokemon: kadabra, Type: unknown
Pokemon: alakazam, Type: unknown
Pokemon: machop, Type: unknown
Pokemon: machoke, Type: unknown
Pokemon: machamp, Type: unknown
Pokemon: bellsprout, Type: unknown
Pokemon: weepinbell, Type: unknown
Pokemon: victreebel, Type: unknown
Pokemon: tentacool, Type: unknown
Pokemon: tentacruel, Type: unknown
Pokemon: geodude, Type: unknown
Pokemon: graveler, Type: unknown
Pokemon: golem, Type: unknown
Pokemon: ponyta, Type: unknown
Pokemon: rapidash, Type: unknown
Pokemon: slowpoke, Type: unknown
Pokemon: slowbro, Type: unknown
Pokemon: magnemite, Type: unknown
Pokemon: magneton, Type: unknown
Pokemon: farfetchd, Type: unknown
Pokemon: doduo, Type: unknown
Pokemon: dodrio, Type: unknown
Pokemon: seel, Type: unknown
Pokemon: dewgong, Type: unknown
Pokemon: grimer, Type: unknown
Pokemon: muk, Type: unknown
Pokemon: shellder, Type: unknown
