id,region_id,identifier,region
1,4.0,canalave-city,
2,4.0,eterna-city,
3,4.0,pastoria-city,
4,4.0,sunyshore-city,
5,4.0,sinnoh-pokemon-league,
6,4.0,oreburgh-mine,
7,4.0,valley-windworks,
8,4.0,eterna-forest,
9,4.0,fuego-ironworks,
10,4.0,mt-coronet,
11,4.0,great-marsh,
12,4.0,solaceon-ruins,
13,4.0,sinnoh-victory-road,
14,4.0,ravaged-path,
15,4.0,oreburgh-gate,
16,4.0,stark-mountain,
17,4.0,spring-path,
18,4.0,turnback-cave,
19,4.0,snowpoint-temple,
20,4.0,wayward-cave,
22,4.0,ruin-maniac-cave,
23,4.0,trophy-garden,
24,4.0,iron-island,
25,4.0,old-chateau,
26,4.0,lake-verity,
27,4.0,lake-valor,
28,4.0,lake-acuity,
29,4.0,valor-lakefront,
30,4.0,acuity-lakefront,
31,4.0,sinnoh-route-201,
32,4.0,sinnoh-route-202,
33,4.0,sinnoh-route-203,
34,4.0,sinnoh-route-204,
35,4.0,sinnoh-route-205,
36,4.0,sinnoh-route-206,
37,4.0,sinnoh-route-207,
38,4.0,sinnoh-route-208,
39,4.0,sinnoh-route-209,
40,4.0,lost-tower,
41,4.0,sinnoh-route-210,
42,4.0,sinnoh-route-211,
43,4.0,sinnoh-route-212,
44,4.0,sinnoh-route-213,
45,4.0,sinnoh-route-214,
46,4.0,sinnoh-route-215,
47,4.0,sinnoh-route-216,
48,4.0,sinnoh-route-217,
49,4.0,sinnoh-route-218,
50,4.0,sinnoh-route-219,
51,4.0,sinnoh-route-221,
52,4.0,sinnoh-route-222,
53,4.0,sinnoh-route-224,
54,4.0,sinnoh-route-225,
55,4.0,sinnoh-route-227,
56,4.0,sinnoh-route-228,
57,4.0,sinnoh-route-229,
58,4.0,twinleaf-town,
59,4.0,celestic-town,
60,4.0,resort-area,
61,4.0,sinnoh-sea-route-220,
62,4.0,sinnoh-sea-route-223,
63,4.0,sinnoh-sea-route-226,
64,4.0,sinnoh-sea-route-230,
65,2.0,blackthorn-city,
66,2.0,burned-tower,
67,1.0,celadon-city,
68,1.0,cerulean-city,
69,2.0,cherrygrove-city,
70,2.0,cianwood-city,
71,1.0,cinnabar-island,
72,2.0,dark-cave,
73,1.0,digletts-cave,
74,2.0,dragons-den,
75,2.0,ecruteak-city,
76,1.0,fuchsia-city,
77,2.0,ice-path,
78,2.0,ilex-forest,
79,2.0,lake-of-rage,
80,1.0,mt-moon,
