id,identifier,species_id,height,weight,base_experience,order,is_default
1,bulbasaur,1,7,69,64,1.0,1
2,ivysaur,2,10,130,142,2.0,1
3,venusaur,3,20,1000,263,3.0,1
4,charmander,4,6,85,62,5.0,1
5,charmeleon,5,11,190,142,6.0,1
6,charizard,6,17,905,267,7.0,1
7,squirtle,7,5,90,63,10.0,1
8,wartortle,8,10,225,142,11.0,1
9,blastoise,9,16,855,265,12.0,1
10,caterpie,10,3,29,39,14.0,1
11,metapod,11,7,99,72,15.0,1
12,butterfree,12,11,320,198,16.0,1
13,weedle,13,3,32,39,17.0,1
14,kakuna,14,6,100,72,18.0,1
15,beedrill,15,10,295,178,19.0,1
16,pidgey,16,3,18,50,21.0,1
17,pidgeotto,17,11,300,122,22.0,1
18,pidgeot,18,15,395,216,23.0,1
19,rattata,19,3,35,51,25.0,1
20,raticate,20,7,185,145,27.0,1
21,spearow,21,3,20,52,30.0,1
22,fearow,22,12,380,155,31.0,1
23,ekans,23,20,69,58,32.0,1
24,arbok,24,35,650,157,33.0,1
25,pikachu,25,4,60,112,35.0,1
26,raichu,26,8,300,243,51.0,1
27,sandshrew,27,6,120,60,53.0,1
28,sandslash,28,10,295,158,55.0,1
29,nidoran-f,29,4,70,55,57.0,1
30,nidorina,30,8,200,128,58.0,1
31,nidoqueen,31,13,600,253,59.0,1
32,nidoran-m,32,5,90,55,60.0,1
33,nidorino,33,9,195,128,61.0,1
34,nidoking,34,14,620,253,62.0,1
35,clefairy,35,6,75,113,64.0,1
36,clefable,36,13,400,242,65.0,1
37,vulpix,37,6,99,60,66.0,1
38,ninetales,38,11,199,177,68.0,1
39,jigglypuff,39,5,55,95,71.0,1
40,wigglytuff,40,10,120,218,72.0,1
41,zubat,41,8,75,49,73.0,1
42,golbat,42,16,550,159,74.0,1
43,oddish,43,5,54,64,76.0,1
44,gloom,44,8,86,138,77.0,1
45,vileplume,45,12,186,245,78.0,1
46,paras,46,3,54,57,80.0,1
47,parasect,47,10,295,142,81.0,1
48,venonat,48,10,300,61,82.0,1
49,venomoth,49,15,125,158,83.0,1
50,diglett,50,2,8,53,84.0,1
51,dugtrio,51,7,333,149,86.0,1
52,meowth,52,4,42,58,88.0,1
53,persian,53,10,320,154,91.0,1
54,psyduck,54,8,196,64,93.0,1
55,golduck,55,17,766,175,94.0,1
56,mankey,56,5,280,61,95.0,1
57,primeape,57,10,320,159,96.0,1
58,growlithe,58,7,190,70,97.0,1
59,arcanine,59,19,1550,194,98.0,1
60,poliwag,60,6,124,60,99.0,1
61,poliwhirl,61,10,200,135,100.0,1
