identifier,generation_id,id
bulbasaur,1,1
ivysaur,1,1
venusaur,1,1
charmander,1,1
charmeleon,1,1
charizard,1,1
squirtle,1,1
wartortle,1,1
blastoise,1,1
caterpie,1,1
metapod,1,1
butterfree,1,1
weedle,1,1
kakuna,1,1
beedrill,1,1
pidgey,1,1
pidgeotto,1,1
pidgeot,1,1
rattata,1,1
raticate,1,1
spearow,1,1
fearow,1,1
ekans,1,1
arbok,1,1
pikachu,1,1
raichu,1,1
sandshrew,1,1
sandslash,1,1
nidoran-f,1,1
nidorina,1,1
nidoqueen,1,1
nidoran-m,1,1
nidorino,1,1
nidoking,1,1
clefairy,1,1
clefable,1,1
vulpix,1,1
ninetales,1,1
jigglypuff,1,1
wigglytuff,1,1
zubat,1,1
golbat,1,1
oddish,1,1
gloom,1,1
vileplume,1,1
paras,1,1
parasect,1,1
venonat,1,1
venomoth,1,1
diglett,1,1
dugtrio,1,1
meowth,1,1
persian,1,1
psyduck,1,1
golduck,1,1
mankey,1,1
primeape,1,1
growlithe,1,1
arcanine,1,1
poliwag,1,1
poliwhirl,1,1
poliwrath,1,1
abra,1,1
kadabra,1,1
alakazam,1,1
machop,1,1
machoke,1,1
machamp,1,1
bellsprout,1,1
weepinbell,1,1
victreebel,1,1
tentacool,1,1
tentacruel,1,1
geodude,1,1
graveler,1,1
golem,1,1
ponyta,1,1
rapidash,1,1
slowpoke,1,1
slowbro,1,1
magnemite,1,1
magneton,1,1
farfetchd,1,1
doduo,1,1
dodrio,1,1
seel,1,1
dewgong,1,1
grimer,1,1
muk,1,1
shellder,1,1
cloyster,1,1
gastly,1,1
haunter,1,1
gengar,1,1
onix,1,1
drowzee,1,1
hypno,1,1
krabby,1,1
kingler,1,1
voltorb,1,1
electrode,1,1
exeggcute,1,1
exeggutor,1,1
cubone,1,1
marowak,1,1
hitmonlee,1,1
hitmonchan,1,1
lickitung,1,1
koffing,1,1
weezing,1,1
rhyhorn,1,1
rhydon,1,1
chansey,1,1
tangela,1,1
kangaskhan,1,1
horsea,1,1
seadra,1,1
goldeen,1,1
seaking,1,1
staryu,1,1
starmie,1,1
mr-mime,1,1
scyther,1,1
jynx,1,1
electabuzz,1,1
magmar,1,1
pinsir,1,1
tauros,1,1
magikarp,1,1
gyarados,1,1
lapras,1,1
ditto,1,1
eevee,1,1
vaporeon,1,1
jolteon,1,1
flareon,1,1
porygon,1,1
omanyte,1,1
omastar,1,1
kabuto,1,1
kabutops,1,1
aerodactyl,1,1
snorlax,1,1
articuno,1,1
zapdos,1,1
moltres,1,1
dratini,1,1
dragonair,1,1
dragonite,1,1
mewtwo,1,1
mew,1,1
chikorita,2,2
bayleef,2,2
meganium,2,2
cyndaquil,2,2
quilava,2,2
typhlosion,2,2
totodile,2,2
croconaw,2,2
feraligatr,2,2
sentret,2,2
furret,2,2
hoothoot,2,2
noctowl,2,2
ledyba,2,2
ledian,2,2
spinarak,2,2
ariados,2,2
crobat,2,2
chinchou,2,2
lanturn,2,2
pichu,2,2
cleffa,2,2
igglybuff,2,2
togepi,2,2
togetic,2,2
natu,2,2
xatu,2,2
mareep,2,2
flaaffy,2,2
ampharos,2,2
bellossom,2,2
marill,2,2
azumarill,2,2
sudowoodo,2,2
politoed,2,2
hoppip,2,2
skiploom,2,2
jumpluff,2,2
aipom,2,2
sunkern,2,2
