id_x,identifier_x,generation_id,evolves_from_species_id,evolution_chain_id,color_id,shape_id,habitat_id,gender_rate,capture_rate,base_happiness,is_baby,hatch_counter,has_gender_differences,growth_rate_id,forms_switchable,is_legendary,is_mythical,order,conquest_order,id_y,identifier_y
1,bulbasaur,1,,1,5,8,3.0,1,45,50.0,0,20.0,0,4,0,0,0,1,,5,green
2,ivysaur,1,1.0,1,5,8,3.0,1,45,50.0,0,20.0,0,4,0,0,0,2,,5,green
3,venusaur,1,2.0,1,5,8,3.0,1,45,50.0,0,20.0,1,4,1,0,0,3,,5,green
4,charmander,1,,2,8,6,4.0,1,45,50.0,0,20.0,0,4,0,0,0,4,109.0,8,red
5,charmeleon,1,4.0,2,8,6,4.0,1,45,50.0,0,20.0,0,4,0,0,0,5,110.0,8,red
6,charizard,1,5.0,2,8,6,4.0,1,45,50.0,0,20.0,0,4,1,0,0,6,111.0,8,red
7,squirtle,1,,3,2,6,9.0,1,45,50.0,0,20.0,0,4,0,0,0,7,,2,blue
8,wartortle,1,7.0,3,2,6,9.0,1,45,50.0,0,20.0,0,4,0,0,0,8,,2,blue
9,blastoise,1,8.0,3,2,6,9.0,1,45,50.0,0,20.0,0,4,1,0,0,9,,2,blue
10,caterpie,1,,4,5,14,2.0,4,255,50.0,0,15.0,0,2,0,0,0,10,,5,green
11,metapod,1,10.0,4,5,2,2.0,4,120,50.0,0,15.0,0,2,0,0,0,11,,5,green
12,butterfree,1,11.0,4,9,13,2.0,4,45,50.0,0,15.0,1,2,0,0,0,12,,9,white
13,weedle,1,,5,3,14,2.0,4,255,70.0,0,15.0,0,2,0,0,0,13,,3,brown
14,kakuna,1,13.0,5,10,2,2.0,4,120,70.0,0,15.0,0,2,0,0,0,14,,10,yellow
15,beedrill,1,14.0,5,10,13,2.0,4,45,70.0,0,15.0,0,2,1,0,0,15,177.0,10,yellow
16,pidgey,1,,6,3,9,2.0,4,255,70.0,0,15.0,0,4,0,0,0,16,,3,brown
17,pidgeotto,1,16.0,6,3,9,2.0,4,120,70.0,0,15.0,0,4,0,0,0,17,,3,brown
18,pidgeot,1,17.0,6,3,9,2.0,4,45,70.0,0,15.0,0,4,1,0,0,18,,3,brown
19,rattata,1,,7,7,8,3.0,4,255,70.0,0,15.0,1,2,0,0,0,19,,7,purple
20,raticate,1,19.0,7,3,8,3.0,4,127,70.0,0,15.0,1,2,0,0,0,20,,3,brown
21,spearow,1,,8,3,9,6.0,4,255,70.0,0,15.0,0,2,0,0,0,21,,3,brown
22,fearow,1,21.0,8,3,9,6.0,4,90,70.0,0,15.0,0,2,0,0,0,22,,3,brown
23,ekans,1,,9,7,2,3.0,4,255,70.0,0,20.0,0,2,0,0,0,23,54.0,7,purple
24,arbok,1,23.0,9,7,2,3.0,4,90,70.0,0,20.0,0,2,0,0,0,24,55.0,7,purple
25,pikachu,1,172.0,10,10,8,2.0,4,190,50.0,0,10.0,1,2,0,0,0,26,16.0,10,yellow
26,raichu,1,25.0,10,10,6,2.0,4,75,50.0,0,10.0,1,2,0,0,0,27,17.0,10,yellow
27,sandshrew,1,,11,10,6,6.0,4,255,50.0,0,20.0,0,2,0,0,0,28,,10,yellow
28,sandslash,1,27.0,11,10,6,6.0,4,90,50.0,0,20.0,0,2,0,0,0,29,,10,yellow
29,nidoran-f,1,,12,2,8,3.0,8,235,50.0,0,20.0,0,4,0,0,0,30,,2,blue
30,nidorina,1,29.0,12,2,8,3.0,8,120,50.0,0,20.0,0,4,0,0,0,31,,2,blue
31,nidoqueen,1,30.0,12,2,6,3.0,8,45,50.0,0,20.0,0,4,0,0,0,32,,2,blue
32,nidoran-m,1,,13,7,8,3.0,0,235,50.0,0,20.0,0,4,0,0,0,33,,7,purple
33,nidorino,1,32.0,13,7,8,3.0,0,120,50.0,0,20.0,0,4,0,0,0,34,,7,purple
34,nidoking,1,33.0,13,7,6,3.0,0,45,50.0,0,20.0,0,4,0,0,0,35,,7,purple
35,clefairy,1,173.0,14,6,6,4.0,6,150,140.0,0,10.0,0,3,0,0,0,37,,6,pink
